Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Addictive disorder,df_dict_psd_all_bands,psd_all_bands,0.92,0.9445234708392602,"{'0': {'precision': 0.8809523809523809, 'recall': 0.9736842105263158, 'f1-score': 0.925, 'support': 38}, '1': {'precision': 0.9696969696969697, 'recall': 0.8648648648648649, 'f1-score': 0.9142857142857143, 'support': 37}, 'accuracy': 0.92, 'macro avg': {'precision': 0.9253246753246753, 'recall': 0.9192745376955904, 'f1-score': 0.9196428571428572, 'support': 75}, 'weighted avg': {'precision': 0.9247330447330447, 'recall': 0.92, 'f1-score': 0.9197142857142857, 'support': 75}}"
Addictive disorder,df_dict_fc_all_bands,fc_all_bands,0.8266666666666667,0.8755334281650071,"{'0': {'precision': 0.8048780487804879, 'recall': 0.868421052631579, 'f1-score': 0.8354430379746836, 'support': 38}, '1': {'precision': 0.8529411764705882, 'recall': 0.7837837837837838, 'f1-score': 0.8169014084507041, 'support': 37}, 'accuracy': 0.8266666666666667, 'macro avg': {'precision': 0.828909612625538, 'recall': 0.8261024182076814, 'f1-score': 0.8261722232126938, 'support': 75}, 'weighted avg': {'precision': 0.8285891917742706, 'recall': 0.8266666666666667, 'f1-score': 0.826295834076187, 'support': 75}}"
Addictive disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.8133333333333334,0.8534850640113799,"{'0': {'precision': 0.8157894736842105, 'recall': 0.8157894736842105, 'f1-score': 0.8157894736842104, 'support': 38}, '1': {'precision': 0.8108108108108109, 'recall': 0.8108108108108109, 'f1-score': 0.8108108108108109, 'support': 37}, 'accuracy': 0.8133333333333334, 'macro avg': {'precision': 0.8133001422475107, 'recall': 0.8133001422475107, 'f1-score': 0.8133001422475106, 'support': 75}, 'weighted avg': {'precision': 0.8133333333333334, 'recall': 0.8133333333333334, 'f1-score': 0.8133333333333334, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_delta,0.9333333333333333,0.9694167852062588,"{'0': {'precision': 0.9230769230769231, 'recall': 0.9473684210526315, 'f1-score': 0.935064935064935, 'support': 38}, '1': {'precision': 0.9444444444444444, 'recall': 0.918918918918919, 'f1-score': 0.9315068493150684, 'support': 37}, 'accuracy': 0.9333333333333333, 'macro avg': {'precision': 0.9337606837606838, 'recall': 0.9331436699857752, 'f1-score': 0.9332858921900018, 'support': 75}, 'weighted avg': {'precision': 0.9336182336182336, 'recall': 0.9333333333333333, 'f1-score': 0.9333096127616675, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_theta,0.9066666666666666,0.9395448079658607,"{'0': {'precision': 0.8780487804878049, 'recall': 0.9473684210526315, 'f1-score': 0.9113924050632912, 'support': 38}, '1': {'precision': 0.9411764705882353, 'recall': 0.8648648648648649, 'f1-score': 0.9014084507042254, 'support': 37}, 'accuracy': 0.9066666666666666, 'macro avg': {'precision': 0.9096126255380201, 'recall': 0.9061166429587482, 'f1-score': 0.9064004278837583, 'support': 75}, 'weighted avg': {'precision': 0.9091917742706839, 'recall': 0.9066666666666666, 'f1-score': 0.9064669875794853, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_alpha,0.8266666666666667,0.8655761024182077,"{'0': {'precision': 0.7450980392156863, 'recall': 1.0, 'f1-score': 0.8539325842696629, 'support': 38}, '1': {'precision': 1.0, 'recall': 0.6486486486486487, 'f1-score': 0.7868852459016393, 'support': 37}, 'accuracy': 0.8266666666666667, 'macro avg': {'precision': 0.8725490196078431, 'recall': 0.8243243243243243, 'f1-score': 0.8204089150856511, 'support': 75}, 'weighted avg': {'precision': 0.8708496732026144, 'recall': 0.8266666666666667, 'f1-score': 0.8208558973414379, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_beta,0.9066666666666666,0.9630156472261736,"{'0': {'precision': 0.8780487804878049, 'recall': 0.9473684210526315, 'f1-score': 0.9113924050632912, 'support': 38}, '1': {'precision': 0.9411764705882353, 'recall': 0.8648648648648649, 'f1-score': 0.9014084507042254, 'support': 37}, 'accuracy': 0.9066666666666666, 'macro avg': {'precision': 0.9096126255380201, 'recall': 0.9061166429587482, 'f1-score': 0.9064004278837583, 'support': 75}, 'weighted avg': {'precision': 0.9091917742706839, 'recall': 0.9066666666666666, 'f1-score': 0.9064669875794853, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_highbeta,0.8133333333333334,0.9160739687055477,"{'0': {'precision': 0.8, 'recall': 0.8421052631578947, 'f1-score': 0.8205128205128205, 'support': 38}, '1': {'precision': 0.8285714285714286, 'recall': 0.7837837837837838, 'f1-score': 0.8055555555555555, 'support': 37}, 'accuracy': 0.8133333333333334, 'macro avg': {'precision': 0.8142857142857143, 'recall': 0.8129445234708392, 'f1-score': 0.813034188034188, 'support': 75}, 'weighted avg': {'precision': 0.8140952380952382, 'recall': 0.8133333333333334, 'f1-score': 0.8131339031339031, 'support': 75}}"
Addictive disorder,df_dict_psd_band,psd_gamma,0.8533333333333334,0.938122332859175,"{'0': {'precision': 0.813953488372093, 'recall': 0.9210526315789473, 'f1-score': 0.8641975308641974, 'support': 38}, '1': {'precision': 0.90625, 'recall': 0.7837837837837838, 'f1-score': 0.8405797101449275, 'support': 37}, 'accuracy': 0.8533333333333334, 'macro avg': {'precision': 0.8601017441860466, 'recall': 0.8524182076813656, 'f1-score': 0.8523886205045624, 'support': 75}, 'weighted avg': {'precision': 0.8594864341085272, 'recall': 0.8533333333333334, 'f1-score': 0.8525460726426909, 'support': 75}}"
Addictive disorder,df_dict_fc_band,fc_delta,0.88,0.868421052631579,"{'0': {'precision': 0.9142857142857143, 'recall': 0.8421052631578947, 'f1-score': 0.8767123287671234, 'support': 38}, '1': {'precision': 0.85, 'recall': 0.918918918918919, 'f1-score': 0.8831168831168831, 'support': 37}, 'accuracy': 0.88, 'macro avg': {'precision': 0.8821428571428571, 'recall': 0.8805120910384068, 'f1-score': 0.8799146059420032, 'support': 75}, 'weighted avg': {'precision': 0.8825714285714285, 'recall': 0.88, 'f1-score': 0.8798719089130048, 'support': 75}}"
